Product Name,Price,Brand Name,Category,MRP,Rating,Reviews,Product URL,Discount_percent
"Leriya Fashion Women's Rayon Viscose Straight Jaipuri Printed Kurta with Pant | Stylish Ethnic Wear for Office, Daily & Festive Use",509.0,Leriya Fashion,Kurtas & Kurtis,1999.0,4.9,64.0,https://www.amazon.in/Leriya-Fashion-LF-W-Kurta-SET-K2790-P212_Grey/dp/B0F4R7BGQQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1,74.54
VastraVibes Women's Cotton Blend Printed Regular Kurti,444.0,VastraVibes,Kurtas & Kurtis,1999.0,4.9,43.0,https://www.amazon.in/VastraVibes-Printed-kurties-Half-Sleeve-Yellow-74-S/dp/B0F3TVVSTC/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-2,77.79
"Leriya Fashion Women’s Sleeveless Rayon Kurta & Pant Set – Multicolour | Comfortable, Breathable Viscose for Office & Casual Wear",479.0,Leriya Fashion,Kurtas & Kurtis,1999.0,4.8,80.0,https://www.amazon.in/Leriya-Fashion-LF-W-Kurta-SET-K2768-P190_Black/dp/B0DY7THJV3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-3,76.04
SHIENZY Cotton Blend Kurta Pant Set for Women | Women Kurta Pant Sets (1612_1654),499.0,SHIENZY,Kurtas & Kurtis,3499.0,4.7,106.0,https://www.amazon.in/SHIENZY-Cotton-Teardrop-Anarkali-1612_KB-L_Black_L/dp/B0DGXXC5DN/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-4,85.74
LERIYA FASHION Anarkali Kurta-Set for Women – Viscose Rayon Printed Kurta & Straight Pant | 3/4 Sleeve Trendy Summer Travel Outfit | Festive Indian Traditional Outfit for Functions & Puja | Picnic | Vacation Wear,439.0,Leriya Fashion,Kurtas & Kurtis,1999.0,4.8,30.0,https://www.amazon.in/Leriya-Fashion-Printed-LF-W2122-TR1089-L-BLACK/dp/B0DGF13VTV/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-5,78.04
SHIENZY Printed Kurta || Kurta top || 3/4 Sleeve Kurta || Kurta for Women,339.0,SHIENZY,Kurtas & Kurtis,999.0,4.6,191.0,https://www.amazon.in/SHIENZY-Womens-Checkered-Regular-SHZ1454_Yellow_S/dp/B0CYCCJCGW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-6,66.07
LookMark Women's Cotton Blend Floral Kurta Set,494.0,LookMark,Kurtas & Kurtis,2599.0,4.8,26.0,https://www.amazon.in/LookMark-Kurta-Set-Elegance-Comfortable/dp/B0D2TYMQFG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-7,80.99
Sidhidata Women Rayon Regular Stylish Kurti with 3/4 Sleeves & Beautiful Neck Embroidery Ideal for Casual Office Wear & Everyday Comfort (Kurti Angell),416.0,Sidhidata,Kurtas & Kurtis,2999.0,4.6,113.0,https://www.amazon.in/Sidhidata-Stylish-Kurti-Beautiful-Embroidery/dp/B0F4KL1FSQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-8,86.13
SHIENZY Solid Relaxed Fit Women's Kurtas & Kurtis,499.0,SHIENZY,Kurtas & Kurtis,2599.0,4.5,591.0,https://www.amazon.in/SHIENZY-Womens-Cotton-Regular-SHZ1432_Brown_M/dp/B0CYCDQ2SD/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-10,80.8
Kurta Set for Women || Women Kurta Set || 2pic Kurta for Women || Women coords Set,499.0,Kalaanj,Kurtas & Kurtis,3999.0,4.5,327.0,https://www.amazon.in/Kurta-Women-coords-Alpha-Multicolor/dp/B0DCK7WKNY/ref=sr_1_11?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-11,87.52
